district,orders,quantity,cbm,avg_dist_my_phuoc,avg_dist_vinh_loc,avg_lat,avg_lon,dist_ds1,dist_ds2,traffic_factor,baseline_dist,baseline_drive_min,baseline_pick_pack_min,baseline_dispatch_buffer_min,baseline_service_time_min,baseline_time,baseline_2h,baseline_4h,ds_dist,nearest_facility,ds_pick_pack_min,ds_dispatch_buffer_min,ds_service_time_min,ds_overhead,ds_drive_min,ds_time,ds_2h,ds_4h,distance_saving_km,time_saving_min,sla_4h_only_baseline,sla_improved_to_2h,qty_share,order_share,orders_per_day,sla_status,best_rdc_km
Bình Chánh,49,543.5,23.759294536250003,45.213877822106426,10.13160210576056,10.750132042553192,106.61994817021277,3.9248239146254407,8.93436418315989,1.4,10.13160210576056,28.368485896129567,30.0,30.0,30.0,118.36848589612957,Met,Met,3.9248239146254407,DS1 (Tân Phú),15.0,10.0,10.0,35.0,10.989506960951234,45.98950696095123,Met,Met,6.20677819113512,72.37897893517834,0,0,0.008294255918321038,0.03268845897264843,0.22897196261682243,Adequate,10.13160210576056
Hóc Môn,27,393.0,22.364343430933335,29.924311783959034,11.857385506774959,10.883011468085106,106.60766197872341,11.116786641787495,15.686205863695283,1.4,11.857385506774959,33.200679418969884,30.0,30.0,30.0,123.20067941896988,Not Met,Met,11.116786641787495,DS1 (Tân Phú),15.0,10.0,10.0,35.0,31.127002597004985,66.12700259700499,Met,Met,0.7405988649874633,57.073676821964895,1,1,0.005997502439558726,0.01801200800533689,0.1261682242990654,Needs Dark Store,11.857385506774959
Quận 10,197,271.425,13.990092466922222,42.442667975627614,11.906464646188466,10.774696216216217,106.67346685135135,5.230554132777437,2.704992050508613,1.8,11.906464646188466,42.86327272627848,30.0,30.0,30.0,132.86327272627847,Not Met,Met,2.704992050508613,DS2 (Quận 1),15.0,10.0,10.0,35.0,9.737971381831008,44.73797138183101,Met,Met,9.201472595679853,88.12530134444745,1,1,0.004142168192512029,0.1314209472981988,0.9205607476635514,Needs Dark Store,11.906464646188466
Bình Thạnh,4,216.0,10.422910692,41.05386007300064,16.715251023893604,10.796657133333333,106.71707540000001,9.959247357706474,3.2986833556755015,1.8,16.715251023893604,60.174903686016975,30.0,30.0,30.0,150.174903686017,Not Met,Met,3.2986833556755015,DS2 (Quận 1),15.0,10.0,10.0,35.0,11.875260080431806,46.87526008043181,Met,Met,13.416567668218102,103.29964360558517,1,1,0.0032963372186887658,0.00266844563042028,0.018691588785046728,Needs Dark Store,16.715251023893604
Củ Chi,21,182.0,8.546705433333333,23.808797597820394,22.11641099445494,10.972192,106.496543,25.222674812589887,31.193512332423783,1.2,22.11641099445494,53.07938638669186,30.0,30.0,30.0,143.07938638669185,Not Met,Met,22.11641099445494,Vinh Loc RDC,30.0,30.0,30.0,90.0,53.07938638669186,143.07938638669185,Not Met,Met,0.0,0.0,1,0,0.002777469323154423,0.014009339559706471,0.09813084112149532,Needs Dark Store,22.11641099445494
Tân Bình,2,110.0,7.101685000000001,41.20473766650456,8.779682938327934,10.782636000000002,106.64534099999999,2.0503488995475854,5.862650470425028,1.8,8.779682938327934,31.606858577980564,30.0,30.0,30.0,121.60685857798056,Not Met,Met,2.0503488995475854,DS1 (Tân Phú),15.0,10.0,10.0,35.0,7.3812560383713075,42.381256038371305,Met,Met,6.729334038780348,79.22560253960926,1,1,0.0016786902502581677,0.00133422281521014,0.009345794392523364,Needs Dark Store,8.779682938327934
Quận 6,7,83.66666666666667,3.6727578579166673,45.52954764545309,9.183568180194309,10.743251714285714,106.63678771428572,4.749562740720249,7.5046372795611545,1.8,9.183568180194309,33.06084544869951,30.0,30.0,30.0,123.06084544869951,Not Met,Met,4.749562740720249,DS1 (Tân Phú),15.0,10.0,10.0,35.0,17.098425866592898,52.0984258665929,Met,Met,4.43400543947406,70.9624195821066,1,1,0.001276821978226667,0.004669779853235491,0.03271028037383177,Needs Dark Store,9.183568180194309
Phú Nhuận,8,78.16666666666667,4.868871250000001,39.376513190447135,12.855242779483381,10.803877,106.681113,6.310599752370734,3.85911676874516,1.8,12.855242779483381,46.27887400614017,30.0,30.0,30.0,136.27887400614017,Not Met,Met,3.85911676874516,DS2 (Quận 1),15.0,10.0,10.0,35.0,13.892820367482576,48.89282036748258,Met,Met,8.996126010738221,87.38605363865759,1,1,0.0011928874657137587,0.00533689126084056,0.037383177570093455,Needs Dark Store,12.855242779483381
Quận 11,4,36.479166666666664,1.8319728583333335,44.266569335213745,9.681097357182818,10.755245,106.648289,4.04497054874638,5.817795790461849,1.8,9.681097357182818,34.85195048585815,30.0,30.0,30.0,124.85195048585814,Not Met,Met,4.04497054874638,DS1 (Tân Phú),15.0,10.0,10.0,35.0,14.561893975486969,49.56189397548697,Met,Met,5.636126808436438,75.29005651037117,1,1,0.0005567020129170552,0.00266844563042028,0.018691588785046728,Needs Dark Store,9.681097357182818
Quận 8,2,24.0,1.581365,46.0207362739435,13.18427804057327,10.742739,106.677766,7.279581033039299,4.084410430201194,1.4,13.18427804057327,36.915978513605154,30.0,30.0,30.0,126.91597851360515,Not Met,Met,4.084410430201194,DS2 (Quận 1),15.0,10.0,10.0,35.0,11.436349204563342,46.43634920456334,Met,Met,9.099867610372076,80.47962930904181,1,1,0.0003662596909654184,0.00133422281521014,0.009345794392523364,Needs Dark Store,13.18427804057327
Nhà Bè,5,14.5,0.8754587575,54.81212903337548,23.787031008437648,10.678244,106.75368,18.243773604245547,12.20367298619728,1.4,23.787031008437648,66.60368682362541,30.0,30.0,30.0,156.60368682362542,Not Met,Met,12.20367298619728,DS2 (Quận 1),15.0,10.0,10.0,35.0,34.17028436135238,69.17028436135237,Met,Met,11.583358022240368,87.43340246227305,1,1,0.0002212818966249403,0.00333555703802535,0.02336448598130841,Needs Dark Store,23.787031008437648
